Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
81-LBEE5XV1XA-540,LBEE5XV1XA-540,Murata Electronics,,"1,000  In Stock",$33.23,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Murata-Electronics/LBEE5XV1XA-540?qs=stqOd1AaK7//oObf2hVFTw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBEE5XV1XA-540&utm_content=Murata-Electronics,,,,,,,,,,,,,,,,,"Cut Tape, Reel",,,,,
634-WFM200S022XNN3R,WFM200S022XNN3R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,"2,449  In Stock",$9.17,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200S022XNN3R?qs=vEM7xhTegWgX9VSbHLiC3g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200S022XNN3R&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,"Cut Tape, Reel",,,,,
634-WFM200SS22XNA3R,WFM200SS22XNA3R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,"2,177  In Stock",$10.07,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200SS22XNA3R?qs=vEM7xhTegWjcx8K%2Bp10WbA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200SS22XNA3R&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,"Cut Tape, Reel",,,,,
607-9260.NGWGII.NV,9260.NGWGII.NV,Intel,https://ru.mouser.com/datasheet/2/612/dual_band_wireless_ac_9260_brief-1661665.pdf,109  In Stock,$38.01,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/9260NGWGIINV?qs=DPoM0jnrROUGhna%2BTa9/kg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=9260.NGWGII.NV&utm_content=Intel,Wireless-AC 9260,,"2.4 GHz, 5 GHz",1.73 Gb/s,"PCIe, USB",,,,,0 C,+ 80,WiFi,Bluetooth,,,,,,,,,
579-WFI32E01PE-I,WFI32E01PE-I,Microchip Technology,https://ru.mouser.com/datasheet/2/268/PIC32MZ1025W104_MCU_and_WFI32E01_Module_with_Wi_Fi-2065561.pdf,307  In Stock,$17.87,,New Product,https://ru.mouser.com/ProductDetail/Microchip-Technology/WFI32E01PE-I?qs=W/MpXkg%2BdQ6FpmXU/d7PKw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFI32E01PE-I&utm_content=Microchip-Technology,,,200 MHz,1 Gb/s,"I2C, SPI, UART",20.5 dBm,3 V to 3.6 V,,,- 40 C,+ 85 C,,,,,,,,,,,
634-WFM200S022XNA3,WFM200S022XNA3,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,947  In Stock,$9.61,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200S022XNA3?qs=vEM7xhTegWgk98Fa7%2BnIXQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200S022XNA3&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
579-WFI32E01UE-I,WFI32E01UE-I,Microchip Technology,https://ru.mouser.com/datasheet/2/268/PIC32MZ1025W104_MCU_and_WFI32E01_Module_with_Wi_Fi-2065561.pdf,266  In Stock,$19.13,,New Product,https://ru.mouser.com/ProductDetail/Microchip-Technology/WFI32E01UE-I?qs=W/MpXkg%2BdQ4ZRdi0t2nvgA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFI32E01UE-I&utm_content=Microchip-Technology,,,200 MHz,1 Gb/s,"I2C, SPI, UART",20.5 dBm,3 V to 3.6 V,,,- 40 C,+ 85 C,,,,,,,,,,,
239-453-00049,453-00049,Laird Connectivity,https://www.lairdconnect.com/node/19975,83  In Stock,$33.36,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00049?qs=DPoM0jnrROXBKDJzSabiAw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00049&utm_content=Laird-Connectivity,Sterling LWB5+,,"2.4 GHz, 5 GHz",,"UART, USB",,3.3 V,,,- 40 C,+ 85 C,802.11ac,,,,,Tray,,,,,
81-CMWC1ZZABR-107,CMWC1ZZABR-107,Murata Electronics,https://ru.mouser.com/datasheet/2/281/Murata_01042021_CMWC1ZZABR_107_A-1949466.pdf,"1,077  In Stock",$20.51,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Murata-Electronics/CMWC1ZZABR-107?qs=81r%2BiQLm7BRbS5TM7hiEuQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CMWC1ZZABR-107&utm_content=Murata-Electronics,,802.11b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","GPIO, JTAG, UART",,3 V to 3.6 V,"282 mA, 285 mA, 303 mA",83 mA,- 30 C,+ 85 C,WiFi,,,,AWS,Tray,,,,,
634-WFM200SS22XNN3,WFM200SS22XNN3,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,260  In Stock,$9.61,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200SS22XNN3?qs=vEM7xhTegWiNkB03Hqcg4w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200SS22XNN3&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
239-453-00047C,453-00047C,Laird Connectivity,https://www.lairdconnect.com/node/19974,96  In Stock,$35.81,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00047C?qs=DPoM0jnrROUXMEkIRsBCmw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00047C&utm_content=Laird-Connectivity,Sterling LWB5+,,"2.4 GHz, 5 GHz",,"UART, USB",,3.3 V,,,- 40 C,+ 85 C,802.11ac,,,,,Cut Tape,,,,,
634-WF200D,WF200D,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wf200_datasheet-1633290.pdf,149  In Stock,$5.86,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF200D?qs=vEM7xhTegWgGp5aozAzYvw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF200D&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,17 dBm,"1.8 V, 3.3 V",108 mA,47.6 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
239-453-00048,453-00048,Laird Connectivity,https://www.lairdconnect.com/node/19975,61  In Stock,$33.36,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00048?qs=DPoM0jnrROXDSt9kLRoSFw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00048&utm_content=Laird-Connectivity,Sterling LWB5+,,"2.4 GHz, 5 GHz",,"UART, USB",,3.3 V,,,- 40 C,+ 85 C,802.11ac,,,,,Tray,,,,,
634-WF200SD,WF200SD,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wf200_datasheet-1633290.pdf,260  In Stock,$6.36,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF200SD?qs=vEM7xhTegWgRA5s9PPW5sw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF200SD&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,17 dBm,"1.8 V, 3.3 V",108 mA,47.6 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
634-WFM200SS22XNA3,WFM200SS22XNA3,Silicon Labs,https://ru.mouser.com/datasheet/2/368/wfm200_datasheet-1800105.pdf,216  In Stock,$10.07,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/WFM200SS22XNA3?qs=vEM7xhTegWgLLepHuwRpOQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WFM200SS22XNA3&utm_content=Silicon-Labs,,802.11 b/g/n,2.412 GHz to 2.484 GHz,72.2 Mb/s,SPI,15.1 dBm,"1.8 V, 3.3 V",99.4 mA,48.3 mA,- 40 C,+ 105 C,,,,,,Tray,,,,,
607-AX201.D2WG,AX201.D2WG,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,979  In Stock,$32.90,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WG?qs=rkhjVJ6/3ELQOcLfiewdWg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX200.NGWG,AX200.NGWG,Intel,https://ru.mouser.com/datasheet/2/612/wi-fi-6-ax200-module-brief-1661660.pdf,712  In Stock,$35.26,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX200NGWG?qs=rkhjVJ6/3EIIuZbLEHlg5w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX200.NGWG&utm_content=Intel,Wi-Fi 6 AX200,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,,,,,,,,,
607-AX201.D2WG.L,AX201.D2WG.L,Intel,https://ru.mouser.com/datasheet/2/612/wi_fi_6_ax201_module_brief-1661650.pdf,991  In Stock,$35.26,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Intel/AX201D2WGL?qs=rkhjVJ6/3ELXD5efPJaICw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AX201.D2WG.L&utm_content=Intel,Wi-Fi 6 AX201,802.11 ax,"2.4 GHz, 5 GHz",2.4 Gb/s,,,,,,0 C,+ 80 C,WiFi,Bluetooth,LTE,,,,,,,,
